Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
Kinergy Corp Ltd,60937598,199851,Hong Kong,Singapore,10011,Industrial,6.1172687393329435,6.721699874343919,10.335507919642405,15.661772991423154,11.092277322984083,6.388301624909399,3.8379679719039115,2.759852389231523,2.2282778550699747,1.8505860974002506,1.9708948036786629,2.1609292246832883,2.293913942713214
Eggriculture Foods Ltd,61554745,200077,Hong Kong,Singapore,10005,Consumer Non-Cyclical,32.06073230634963,48.743890872738625,75.92066414874093,109.96372862626234,81.90046579184981,56.27565890777252,39.89176689159986,30.059546123377682,22.279881133793882,16.897581608536036,16.20120171390764,16.802456154620057,17.48554027194218
Mindtell Technology Ltd,62006497,200358,Hong Kong,Malaysia,10013,Technology,18.56397011403169,19.626686546904544,20.67476359097868,21.71175975417465,26.100519588413757,29.56184552890232,33.39300742916935,30.597148711282102,27.486567549788827,24.893359482468068,22.82948329317917,20.355257139174277,18.980106958568747
TS Wonders Holding Ltd,62894251,200792,Hong Kong,Singapore,10005,Consumer Non-Cyclical,2.0672679859956555,2.970545881296833,4.471417380031538,6.397438819733915,4.812029894415902,3.3607663804365946,2.4121769852452504,1.8004619285757597,1.3304632409170136,1.002454141265235,0.9681904415185861,0.9962606157472232,1.0473504637662472
Guan Chao Holdings Ltd,63231166,200969,Hong Kong,Singapore,10004,Consumer Cyclical,216.7523738630008,116.8743605124579,184.57581495663257,271.146702600876,188.93964207424756,116.2676666408651,74.4993719589958,50.85814908606455,36.53757906852452,27.69910632010333,26.51471489244264,27.966038052962485,29.39381311045666
K2 F&B Holdings Ltd,63330647,200989,Hong Kong,Singapore,10004,Consumer Cyclical,21.236682647620075,32.507579872197255,50.35982649387282,74.2248274708291,51.348783305724545,31.751872094714532,20.53151248431825,14.265986741428659,10.383904656784976,7.997187368432268,7.86709190715361,8.064021813744752,8.554636651894231
Design Capital Ltd,64463635,201208,Hong Kong,Singapore,10004,Consumer Cyclical,8.871549066902732,14.34662785708853,22.888554325975477,34.01677788826325,23.950034028425947,15.185917822606221,9.93659468133315,7.069894672108841,5.205117741521545,4.382805463907927,4.361693444475854,4.518760139493899,4.697433253824417
JBB Builders International Ltd,64572124,201277,Hong Kong,Malaysia,10011,Industrial,8.507014220862072,12.065802638146993,19.2883144798733,28.896686499486336,19.481166524850742,11.378882339259455,6.689623945784898,4.927044369221615,3.767736585220715,3.0815823066719057,3.204804425856968,3.462950160249985,3.782374411007117
AM Group Holdings Ltd,65049691,201506,Hong Kong,Singapore,10003,Communications,10.340982016340746,8.332036077220613,9.255806713193774,9.876196946229102,10.0854444592309,10.27899510169046,10.92354529581676,9.81114580173642,8.658840523244665,7.689330192575902,7.411072820131836,7.178940203415577,7.150961024459629
Rajratan Global Wire Ltd,162236,8832,India,Thailand,10002,Basic Materials,66.43421869867768,85.55873459980776,102.6115001030549,120.13348784317182,96.67807417789459,78.80352116797029,65.40954143345226,57.831620869829194,51.973699812064346,48.25425389242379,48.40274875333441,49.420644521734495,49.78698441178164
